,ds,is_holiday
413,2018-02-26,False
414,2018-02-27,False
415,2018-02-28,False
416,2018-03-01,False
417,2018-03-02,False
418,2018-03-03,False
419,2018-03-04,False
420,2018-03-05,False
421,2018-03-06,False
422,2018-03-07,False
423,2018-03-08,True
424,2018-03-09,True
425,2018-03-10,True
426,2018-03-11,True
427,2018-03-12,False
428,2018-03-13,False
429,2018-03-14,False
430,2018-03-15,False
431,2018-03-16,False
432,2018-03-17,False
433,2018-03-18,False
434,2018-03-19,False
435,2018-03-20,False
436,2018-03-21,False
437,2018-03-22,False
438,2018-03-23,False
439,2018-03-24,False
440,2018-03-25,False
441,2018-03-26,False
442,2018-03-27,False
443,2018-03-28,False
444,2018-03-29,False
445,2018-03-30,False
446,2018-03-31,False
447,2018-04-01,False
448,2018-04-02,False
449,2018-04-03,False
450,2018-04-04,False
451,2018-04-05,False
452,2018-04-06,False
453,2018-04-07,False
454,2018-04-08,False
455,2018-04-09,False
456,2018-04-10,False
457,2018-04-11,False
458,2018-04-12,False
459,2018-04-13,False
460,2018-04-14,False
461,2018-04-15,False
462,2018-04-16,False
463,2018-04-17,False
464,2018-04-18,False
465,2018-04-19,False
466,2018-04-20,False
467,2018-04-21,False
468,2018-04-22,False
469,2018-04-23,False
470,2018-04-24,False
471,2018-04-25,False
472,2018-04-26,False
473,2018-04-27,False
474,2018-04-28,False
475,2018-04-29,True
476,2018-04-30,True
